cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,m,true,mcse_true,apparent,mcse_apparent,diff,mcse_diff,rel_diff_pct
0,0.05,False,0.0,independent,3.0,adj_tol3,loa_width,11.744267262307744,0.016079247685474057,12.893952492407234,0.02449142398844637,1.1496852300994866,0.01947177728774849,9.789331291781025
0,0.05,False,0.0,independent,3.0,adj_tol3,mae,2.394659283655652,0.002822432717539521,2.64244522236792,0.0032415500062093197,0.2477859387122685,0.002123717407261353,10.347440256051879
0,0.05,False,0.0,independent,3.0,mean2,ba_bias,-0.000894556243719776,0.00475787590695767,0.11902092634881012,0.009719706162521383,0.11991548259252989,0.008612266307218668,
0,0.05,False,0.0,independent,3.0,mean2,icc,0.8164335441930739,0.0006484707118715972,0.7767129542184523,0.0007618128156721989,-0.039720589974621655,0.0003398554762116032,
0,0.05,False,0.0,independent,3.0,mean2,loa_width,11.744267262307744,0.016079247685474057,12.889412984703018,0.02438749531244074,1.1451457223952735,0.019346309978358824,9.750678325164857
0,0.05,False,0.0,independent,3.0,mean2,mae,2.394659283655652,0.002822432717539521,2.6412174968792317,0.0032290327324210628,0.2465582132235799,0.0021089447225253323,10.296170937820754
0,0.05,False,0.0,independent,3.0,single,ba_bias,-0.000894556243719776,0.00475787590695767,0.11953838224513248,0.00976392088941869,0.12043293848885224,0.008677540832030855,
0,0.05,False,0.0,independent,3.0,single,icc,0.8164335441930739,0.0006484707118715972,0.7700530658752455,0.0007923798429643385,-0.04638047831782853,0.00038633406238203666,
0,0.05,False,0.0,independent,3.0,single,loa_width,11.744267262307744,0.016079247685474057,13.141784757517513,0.024970577397003528,1.3975174952097689,0.020208586406482903,11.89957162925767
0,0.05,False,0.0,independent,3.0,single,mae,2.394659283655652,0.002822432717539521,2.692394421767864,0.0033894006033432836,0.2977351381122127,0.0024248080920994597,12.43329855501174
0,0.05,False,0.0,shared,1.0,adj_tol1,ba_bias,-0.0002981854145732572,0.0015859586356525568,0.12382009844543594,0.009072643295515563,0.1241182838600092,0.008997345949930288,
0,0.05,False,0.0,shared,1.0,adj_tol1,icc,0.9755284383954681,0.00010056663149164725,0.9229654487830093,0.00033861770905679845,-0.05256298961245884,0.0002890560731209378,
0,0.05,False,0.0,shared,1.0,adj_tol1,loa_width,3.9147557541025817,0.005359749228491353,6.802026350123862,0.0211030277741725,2.887270596021281,0.020917863795341485,73.75353093217839
0,0.05,False,0.0,shared,1.0,adj_tol1,mae,0.7982197612185505,0.0009408109058465069,1.3968417647893048,0.0025447378336179056,0.598622003570754,0.002544005439404585,74.99463589537127
0,0.05,False,0.0,shared,1.0,adj_tol2,ba_bias,-0.0002981854145732572,0.0015859586356525568,0.1217609467123832,0.008945924499288131,0.12205913212695647,0.008857643502043237,
0,0.05,False,0.0,shared,1.0,adj_tol2,icc,0.9755284383954681,0.00010056663149164725,0.925887049259549,0.0003178957689816168,-0.049641389135919256,0.00026788053174843756,
0,0.05,False,0.0,shared,1.0,adj_tol2,loa_width,3.9147557541025817,0.005359749228491353,6.659444357465956,0.02047107356402214,2.7446886033633744,0.0202370398289953,70.11136264342925
0,0.05,False,0.0,shared,1.0,adj_tol2,mae,0.7982197612185505,0.0009408109058465069,1.3660033925783723,0.00236004146799704,0.5677836313598215,0.0023436767786102993,71.13124216482079
0,0.05,False,0.0,shared,1.0,adj_tol3,ba_bias,-0.0002981854145732572,0.0015859586356525568,0.12001356955929825,0.008762557985981021,0.12031175497387152,0.008663944240388587,
0,0.05,False,0.0,shared,1.0,adj_tol3,icc,0.9755284383954681,0.00010056663149164725,0.9269765350233452,0.0003048220534237236,-0.048551903372123006,0.00025308609227476175,
0,0.05,False,0.0,shared,1.0,adj_tol3,loa_width,3.9147557541025817,0.005359749228491353,6.611813786172253,0.019914329239927565,2.6970580320696715,0.019642841361220187,68.89466933519957
0,0.05,False,0.0,shared,1.0,adj_tol3,mae,0.7982197612185505,0.0009408109058465069,1.3543847856211013,0.002225425853506148,0.556165024402551,0.002205011640663532,69.67567722872678
0,0.05,False,0.0,shared,1.0,mean2,ba_bias,-0.0002981854145732572,0.0015859586356525568,0.11961729717795663,0.008712507503863978,0.1199154825925299,0.008612266307218668,
0,0.05,False,0.0,shared,1.0,mean2,icc,0.9755284383954681,0.00010056663149164725,0.9271992770899318,0.0003015625740825424,-0.04832916130553647,0.0002493207314037241,
0,0.05,False,0.0,shared,1.0,mean2,loa_width,3.9147557541025817,0.005359749228491353,6.601782456528446,0.019752834106705423,2.6870267024258645,0.019481206536775094,68.6384252608842
0,0.05,False,0.0,shared,1.0,mean2,mae,0.7982197612185505,0.0009408109058465069,1.3519366187885618,0.0021768346822175376,0.553716857570011,0.002159110046106181,69.36897386813814
0,0.05,False,0.0,shared,1.0,single,ba_bias,-0.0002981854145732572,0.0015859586356525568,0.120134753074279,0.008771962763143846,0.12043293848885227,0.008677540832030853,
0,0.05,False,0.0,shared,1.0,single,icc,0.9755284383954681,0.00010056663149164725,0.9175857970505698,0.0003666579096380515,-0.05794264134489846,0.00031736326223968974,
0,0.05,False,0.0,shared,1.0,single,loa_width,3.9147557541025817,0.005359749228491353,7.080339878423887,0.0212077240277114,3.165584124321305,0.020976659773158456,80.86287684752337
0,0.05,False,0.0,shared,1.0,single,mae,0.7982197612185505,0.0009408109058465069,1.4536166105654194,0.002712810300135467,0.6553968493468685,0.0027085831799232695,82.10731946129087
0,0.05,False,0.0,shared,2.0,adj_tol1,ba_bias,-0.000596370829146518,0.0031719172713051136,0.1235219130308627,0.009418280532061146,0.1241182838600092,0.008997345949930288,
0,0.05,False,0.0,shared,2.0,adj_tol1,icc,0.9089533882052301,0.0003520120505073868,0.860722244070411,0.0005282861990104623,-0.04823114413481922,0.0003201224928012012,
0,0.05,False,0.0,shared,2.0,adj_tol1,loa_width,7.829511508205163,0.010719498456982706,9.602360279529456,0.022349079349421715,1.7728487713242922,0.020551395775528235,22.643159403576888
0,0.05,False,0.0,shared,2.0,adj_tol1,mae,1.596439522437101,0.001881621811693014,1.9736096629908364,0.002713013924000513,0.3771701405537351,0.002356368279906611,23.62570803671615
0,0.05,False,0.0,shared,2.0,adj_tol2,ba_bias,-0.000596370829146518,0.0031719172713051136,0.12146276129780995,0.0093076211500383,0.12205913212695647,0.008857643502043235,
0,0.05,False,0.0,shared,2.0,adj_tol2,icc,0.9089533882052301,0.0003520120505073868,0.8631486221724571,0.000515713910244675,-0.04580476603277302,0.0003066688345343317,
0,0.05,False,0.0,shared,2.0,adj_tol2,loa_width,7.829511508205163,0.010719498456982706,9.50393867435899,0.021974805575309404,1.6744271661538264,0.020048726490433523,21.3861000702159
0,0.05,False,0.0,shared,2.0,adj_tol2,mae,1.596439522437101,0.001881621811693014,1.9525466934096665,0.0026248004913030105,0.35610717097256533,0.002216951782024023,22.30633644229362
0,0.05,False,0.0,shared,2.0,adj_tol3,ba_bias,-0.000596370829146518,0.0031719172713051136,0.11971538414472499,0.009139553856879383,0.12031175497387153,0.008663944240388587,
0,0.05,False,0.0,shared,2.0,adj_tol3,icc,0.9089533882052301,0.0003520120505073868,0.8641168934330145,0.0005071773140287686,-0.04483649477221571,0.00029439881401914215,
0,0.05,False,0.0,shared,2.0,adj_tol3,loa_width,7.829511508205163,0.010719498456982706,9.469300485503734,0.021575747751141194,1.63978897729857,0.019539706635750928,20.94369457890324
0,0.05,False,0.0,shared,2.0,adj_tol3,mae,1.596439522437101,0.001881621811693014,1.9443216153983107,0.0025533059377738205,0.34788209296120953,0.0021254960461457636,21.79112256192066
0,0.05,False,0.0,shared,2.0,mean2,ba_bias,-0.000596370829146518,0.0031719172713051136,0.11931911176338338,0.009092577888108532,0.1199154825925299,0.008612266307218668,
0,0.05,False,0.0,shared,2.0,mean2,icc,0.9089533882052301,0.0003520120505073868,0.8642846689105107,0.0005053899682438152,-0.04466871929471934,0.00029159184768966283,
0,0.05,False,0.0,shared,2.0,mean2,loa_width,7.829511508205163,0.010719498456982706,9.462670587254884,0.02145065367042681,1.63315907904972,0.019405169922583156,20.85901626606211
0,0.05,False,0.0,shared,2.0,mean2,mae,1.596439522437101,0.001881621811693014,1.9426363755201546,0.002529086787485786,0.34619685308305337,0.0021008029508299375,21.685560161687448
